id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,git_repo,deployment_url,prd_confirmation,tech_expectations,acceptance,last_update,engine,target,game_type,notes
P-20260412-009,ai-stock-simulation,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,2026-04-12,,,,提案
P-20260505-001,ai-stock-simulation,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,2026-05-05,,,,提案
P-20260505-002,ai-stock-simulation,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,2026-05-05,,,,提案
P-20260505-003,ai-stock-simulation,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,confirmed,,accepted,2026-05-05,,,,提案
P-20260505-004,ai-stock-simulation,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,confirmed,,accepted,2026-05-05,,,,提案
P-20260509-024,position-analytics,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,delivered,2026-05-09,,,,
P-20250417-002,android-hello,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,https://github.com/YeLuo45/android-hello/releases/download/v1.0.0/app-debug.apk,,,accepted,2026-04-17,,,,Android
P-20260505-014,android-hello Unit Tests,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-05,,,,Android
P-20260505-015,android-hello Settings,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-05,,,,Android
P-20260505-016,android-hello Room,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-05,,,,Android
P-20260505-017,android-hello Retrofit,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-05,,,,Android
P-20260506-018,android-hello SavedStateHandle,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-06,,,,Android
P-20260506-019,android-hello Dark Mode,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-06,,,,Android
P-20260506-020,android-hello Compose UI Testing,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-06,,,,Android
P-20260506-021,android-hello i18n,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,2026-05-06,,,,Android
